VesselID,width,length,height,height_loaded,emissionfactor,power,own_weight,loaded_capacity,capacity_unloaded,loaded_speed,speed_unloaded,loaded_resistance,resistance_unloaded,is_loaded,vessel_type,scenario
4db2931a-4973-11e9-ae43-b469212bff5b,19.0,105.0,3.0,9.1,0.71,350.0,140.0,2177.5,0.0,2.583,4.167,93843.0,70473.0,0.0,C2b,All
4db2931a-4973-11e9-ae43-b469212bff5b,19.0,105.0,3.0,9.1,0.71,350.0,140.0,2177.5,0.0,2.583,4.167,93843.0,70473.0,1.0,C2b,All
5200e342-4973-11e9-b821-b469212bff5b,9.5,185.0,3.0,7.0,0.71,258.0,140.0,2177.5,0.0,3.583,4.722,111004.0,68736.0,0.0,C2L,All
5200e342-4973-11e9-b821-b469212bff5b,9.5,185.0,3.0,7.0,0.71,258.0,140.0,2177.5,0.0,3.583,4.722,111004.0,68736.0,1.0,C2L,All
560257d0-4973-11e9-be15-b469212bff5b,22.8,110.0,3.0,8.0,0.71,350.0,140.0,3625.0,0.0,2.333,4.278,93843.0,70473.0,0.0,C3b,All
560257d0-4973-11e9-be15-b469212bff5b,22.8,110.0,3.0,8.0,0.71,350.0,140.0,3625.0,0.0,2.333,4.278,93843.0,70473.0,1.0,C3b,All
5972634c-4973-11e9-bd78-b469212bff5b,11.4,190.0,3.0,8.0,0.71,350.0,140.0,3987.5000000000005,0.0,3.25,5.056,111004.0,68736.0,0.0,C3L,All
5972634c-4973-11e9-bd78-b469212bff5b,11.4,190.0,3.0,8.0,0.71,350.0,140.0,3987.5000000000005,0.0,3.25,5.056,111004.0,68736.0,1.0,C3L,All
60f4dfa4-4973-11e9-9a85-b469212bff5b,22.8,185.0,3.0,8.0,0.71,400.0,150.0,4350.0,0.0,3.0,4.472,111004.0,68736.0,0.0,C4,All
60f4dfa4-4973-11e9-9a85-b469212bff5b,22.8,185.0,3.0,8.0,0.71,400.0,150.0,4350.0,0.0,3.0,4.472,111004.0,68736.0,1.0,C4,All
667d1536-4973-11e9-a5bb-b469212bff5b,22.8,270.0,3.0,8.0,0.71,400.0,165.0,9000.0,0.0,2.667,4.472,213665.0,151739.0,0.0,BII_6L,All
667d1536-4973-11e9-a5bb-b469212bff5b,22.8,270.0,3.0,8.0,0.71,400.0,165.0,9000.0,0.0,2.667,4.472,213665.0,151739.0,1.0,BII_6L,All
