VesselID,width,length,height_unloaded,height_loaded,draught_unloaded,draught_loaded,emissionfactor,installed_power,own_weight,capacity_loaded,capacity_unloaded,speed_loaded,speed_unloaded,resistance_loaded,resistance_unloaded,is_loaded,avv_class,cemt_class,type,scenario
5200e342-4973-11e9-b821-b469212bff5b,9.5,185.0,3.0,7.0,1.5,2.7,0.71,258.0,140.0,2010.0,0.0,3.583,4.722,111004.0,68736.0,0.0,C2l,IVb,Klasse IV + 1 Europa I bak lang,"['Base Case', 'NS-High', 'NS-Low']"
5200e342-4973-11e9-b821-b469212bff5b,9.5,185.0,3.0,7.0,1.5,2.7,0.71,258.0,140.0,2010.0,0.0,3.583,4.722,111004.0,68736.0,1.0,C2l,IVb,Klasse IV + 1 Europa I bak lang,"['Base Case', 'NS-High', 'NS-Low']"
560257d0-4973-11e9-be15-b469212bff5b,19.0,105.0,3.0,9.1,1.5,2.7,0.71,350.0,140.0,2177.5,0.0,2.583,4.167,93843.0,70473.0,0.0,C2b,VIa,Klasse IV + 1 Europa I bak breed,"['NS-High', 'NS-Low']"
560257d0-4973-11e9-be15-b469212bff5b,19.0,105.0,3.0,9.1,1.5,2.7,0.71,350.0,140.0,2177.5,0.0,2.583,4.167,93843.0,70473.0,1.0,C2b,VIa,Klasse IV + 1 Europa I bak breed,"['NS-High', 'NS-Low']"
5972634c-4973-11e9-bd78-b469212bff5b,11.4,190.0,3.0,8.0,1.5,2.7,0.71,350.0,140.0,4350.0,0.0,3.25,5.056,111004.0,68736.0,0.0,C3l,Vb,Klasse Va + 1 Europa II bak lang,"['Base Case', 'NS-High', 'NS-Low']"
5972634c-4973-11e9-bd78-b469212bff5b,11.4,190.0,3.0,8.0,1.5,2.7,0.71,350.0,140.0,4350.0,0.0,3.25,5.056,111004.0,68736.0,1.0,C3l,Vb,Klasse Va + 1 Europa II bak lang,"['Base Case', 'NS-High', 'NS-Low']"
60f4dfa4-4973-11e9-9a85-b469212bff5b,22.8,110.0,3.0,8.0,1.5,2.7,0.71,350.0,140.0,3625.0,0.0,2.333,4.278,93843.0,70473.0,0.0,C3b,VIa,Klasse Va + 1 Europa II bak breed,"['Base Case', 'NS-High', 'NS-Low']"
60f4dfa4-4973-11e9-9a85-b469212bff5b,22.8,110.0,3.0,8.0,1.5,2.7,0.71,350.0,140.0,3625.0,0.0,2.333,4.278,93843.0,70473.0,1.0,C3b,VIa,Klasse Va + 1 Europa II bak breed,"['Base Case', 'NS-High', 'NS-Low']"
667d1536-4973-11e9-a5bb-b469212bff5b,22.8,185.0,3.0,8.0,1.5,2.7,0.71,400.0,150.0,4712.5,0.0,3.0,4.472,111004.0,68736.0,0.0,C4,VIb,Klasse Va + 3 Europa II bakken,"['Base Case', 'NS-High', 'NS-Low']"
667d1536-4973-11e9-a5bb-b469212bff5b,22.8,185.0,3.0,8.0,1.5,2.7,0.71,400.0,150.0,4712.5,0.0,3.0,4.472,111004.0,68736.0,1.0,C4,VIb,Klasse Va + 3 Europa II bakken,"['Base Case', 'NS-High', 'NS-Low']"
6a9cbdee-4973-11e9-84e3-b469212bff5b,22.8,270.0,3.0,8.0,1.5,2.7,0.71,400.0,165.0,9000.0,0.0,2.667,4.472,213665.0,151739.0,0.0,BII_6l,VIc,6 baksduwstel (lang),"['Base Case', 'NS-High', 'NS-Low']"
6a9cbdee-4973-11e9-84e3-b469212bff5b,22.8,270.0,3.0,8.0,1.5,2.7,0.71,400.0,165.0,9000.0,0.0,2.667,4.472,213665.0,151739.0,1.0,BII_6l,VIc,6 baksduwstel (lang),"['Base Case', 'NS-High', 'NS-Low']"
