,LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,TYPE_IMG,TYPE_NAME,STATUS_NAME,vessel_type,terminal_type,name,length,width,ID,draught_empty,draught_full,height_empty,height_full,v,installed_power,terminal
1191,51.88304,4.265395,0.0,306.0,306.0,3.0,,NL,135.0,,ORCHILA,7,1466664,15.0,120.0,9.0,,61,nan,nan,nan,,,ORCHILA,135.0,15.0,1466664,5,5,5,5,5.1,1000,Other
1192,51.91221,4.419005,0.0,,,7.0,DUINKERKEN,NL,100.0,,BEVERWAARD,8,239833,9.0,100.0,10.0,,25,nan,nan,nan,,,BEVERWAARD,100.0,9.0,239833,5,5,5,5,5.1,1000,Other
1193,51.89335,4.456468,0.0,226.0,226.0,1.0,KRIMPEN AD IJSSEL,NL,72.0,,INCEPTO,7,241192,8.0,72.0,9.0,,-999,nan,nan,nan,,,INCEPTO,72.0,8.0,241192,5,5,5,5,5.1,1000,Other
1194,51.89844,4.221482,0.0,,,8.0,SEATANK 300 ANTWEWRP,NL,110.0,,PRIDE OF FAIAL,8,234520,11.0,100.0,8.0,,25,nan,nan,nan,,,PRIDE OF FAIAL,110.0,11.0,234520,5,5,5,5,5.1,1000,Other
1195,51.91415,4.493755,1.0,223.0,223.0,5.0,VEGHEL,NL,85.0,,FAR YSKAR,7,239114,10.0,73.0,5.0,,-999,nan,nan,nan,,,FAR YSKAR,85.0,10.0,239114,5,5,5,5,5.1,1000,Other
1196,51.89479,4.23618,0.0,100.0,100.0,3.0,ROTTERDAM,FR,80.0,,MASCARET,7,170335,5.0,71.0,5.0,,61,nan,nan,nan,,,MASCARET,80.0,5.0,170335,5,5,5,5,5.1,1000,Other
1197,51.91073,4.415855,0.0,65.0,65.0,2.0,HANSADOK,NL,110.0,,VOLANTE,8,3351684,11.0,110.0,5.0,2950.0,25,nan,nan,nan,,,VOLANTE,110.0,11.0,3351684,5,5,5,5,5.1,1000,Other
1198,51.90834,4.45212,1.0,185.0,185.0,5.0,,NL,24.0,,STC ALBATROS,3,1071101,6.0,4.0,3.0,,74,nan,nan,nan,,,STC ALBATROS,24.0,6.0,1071101,5,5,5,5,5.1,1000,Other
1199,51.88645,4.403167,0.0,146.0,331.0,2.0,NLRTM,NL,88.0,0.0,CROWN MARY,7,268243,12.0,76.0,9.0,3500.0,9,nan,nan,nan,General Cargo,Cargo,CROWN MARY,88.0,12.0,268243,5,5,5,5,5.1,1000,Other
1200,51.87666,4.291296,0.0,184.0,343.0,7.0,,NL,55.0,0.0,HEBO LIFT 2,3,5059578,23.0,22.0,12.0,,127,nan,nan,nan,,,HEBO LIFT 2,55.0,23.0,5059578,5,5,5,5,5.1,1000,Other
1201,51.885,4.433333,1.0,349.0,349.0,924.0,,NL,42.0,,INVOTIS III,3,232218,9.0,4.0,5.0,,-999,nan,nan,nan,,,INVOTIS III,42.0,9.0,232218,5,5,5,5,5.1,1000,Other
1202,51.885,4.433333,,,,564.0,nan,nan,,,[SAT-AIS],3,TXpNeE5UTTRNek14TlRNNE16TXhOUT09LUQwbVFnd01yUktEY09XRjFlRlF3Nmc9PQ==,,,,,-999,3,Tugs & Special Craft,Underway using Engine,,,[SAT-AIS],,,TXpNeE5UTTRNek14TlRNNE16TXhOUT09LUQwbVFnd01yUktEY09XRjFlRlF3Nmc9PQ==,5,5,5,5,5.1,1000,Other
1203,51.92182,4.499037,1.0,209.0,209.0,3.0,CLASS B,NL,15.0,,DELFINO,9,5535737,5.0,10.0,2.0,,-999,nan,nan,nan,,,DELFINO,15.0,5.0,5535737,5,5,5,5,5.1,1000,Other
1204,51.90096,4.456789,0.0,293.0,90.0,1.0,ROTTERDAM,AG,87.0,0.0,WILSON DUNMORE,7,366225,12.0,78.0,6.0,3666.0,9,nan,nan,nan,General Cargo,Cargo,WILSON DUNMORE,87.0,12.0,366225,5,5,5,5,5.1,1000,Other
1205,51.90933,4.416167,0.0,260.0,260.0,2.0,KAMPEN,BE,110.0,,POOLZEE,8,5101040,13.0,95.0,7.0,,25,nan,nan,nan,,,POOLZEE,110.0,13.0,5101040,5,5,5,5,5.1,1000,Other
