,shipname,shiptype,chamber,enter time waiting area,enter time,exit time,speed=0 start,speed=0 stop,locking time,waiting time,v enter,direction,length,width,draught,hazardous cargo,old index
33,testschip-1755,79,1,,2019-08-06 05:32:21+00:00,2019-08-06 05:44:12+00:00,2019-08-06 05:32:21+00:00,2019-08-06 05:37:37.499960+00:00,11.85,,[],1,,,2.0,5,11
34,testschip-3642,79,3,2019-08-06 05:25:22+00:00,2019-08-06 05:35:39+00:00,2019-08-06 05:59:11+00:00,2019-08-06 05:42:02+00:00,2019-08-06 05:54:36.000004+00:00,23.533333333333335,,[3.74120028],2,80.0,10.0,2.200000047683716,5,41
35,testschip-1317,69,2,2019-08-06 05:30:36+00:00,2019-08-06 05:36:55+00:00,2019-08-06 06:00:36+00:00,2019-08-06 05:40:24+00:00,2019-08-06 05:51:52.000052+00:00,23.683333333333334,,[5.26388125],1,85.0,10.0,1.7999999523162842,5,24
36,testschip-46,80,2,2019-08-06 05:31:38+00:00,2019-08-06 05:41:00+00:00,2019-08-06 06:03:48+00:00,2019-08-06 05:46:39+00:00,2019-08-06 05:57:29.999994+00:00,22.8,,[3.39103124],1,125.0,11.0,4.0,5,25
37,testschip-1447,80,1,2019-08-06 05:45:56+00:00,2019-08-06 05:54:09+00:00,2019-08-06 06:25:30+00:00,2019-08-06 06:02:12+00:00,2019-08-06 06:20:45.000014+00:00,31.35,,[4.63123581],2,,,,5,12
38,testschip-2559,75,1,2019-08-06 05:47:37+00:00,2019-08-06 05:56:28+00:00,2019-08-06 06:26:50+00:00,2019-08-06 06:04:50+00:00,2019-08-06 06:24:06.250002+00:00,30.366666666666667,,[4.26606825],2,,,2.700000047683716,5,13
39,testschip-202,82,1,2019-08-06 05:54:17+00:00,2019-08-06 06:02:28+00:00,2019-08-06 06:29:38+00:00,2019-08-06 06:08:29+00:00,2019-08-06 06:24:13.999996+00:00,27.166666666666668,,[4.687501],2,,12.0,1.5,5,14
40,testschip-2506,80,3,2019-08-06 06:09:23+00:00,2019-08-06 06:15:23+00:00,2019-08-06 06:50:55+00:00,2019-08-06 06:21:14+00:00,2019-08-06 06:49:04.749966+00:00,35.53333333333333,,[5.17148537],1,110.0,12.0,2.099999904632568,5,42
41,testschip-2795,90,2,2019-08-06 06:10:08+00:00,2019-08-06 06:17:30+00:00,2019-08-06 06:39:28+00:00,2019-08-06 06:24:18+00:00,2019-08-06 06:35:59.124998+00:00,21.966666666666665,,[5.24602174],2,86.0,12.0,2.200000047683716,5,26
42,testschip-2838,79,2,2019-08-06 06:16:20+00:00,2019-08-06 06:23:10+00:00,2019-08-06 06:40:50+00:00,2019-08-06 06:28:13+00:00,2019-08-06 06:36:40.000007+00:00,17.666666666666668,,[5.61190613],2,135.0,12.0,,5,27
