stations,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
"('Amstelveenseweg', 'Gerrit v.d. Veenstraat')",3.0,2.0,1.0,,,,1.0,4.0,2.0,1.0
"('Amstelveenseweg', 'Heemstedestraat')",8.0,4.0,5.0,5.0,10.0,8.0,5.0,11.0,7.0,4.0
"('Amstelveenseweg', 'Henk Sneevlietweg')",11.0,4.0,7.0,4.0,7.0,10.0,8.0,7.0,7.0,7.0
"('Amstelveenseweg', 'IJsbaanpad')",,,,,,,,,,
"('Amstelveenseweg', 'Isolatorweg')",,1.0,2.0,1.0,3.0,,,,,1.0
"('Amstelveenseweg', 'Jan v.Galenstraat')",10.0,11.0,9.0,9.0,7.0,6.0,9.0,8.0,7.0,7.0
"('Amstelveenseweg', 'Keizersgracht')",,,,,,,,,,
"('Amstelveenseweg', 'Koningsplein')",,,,,,,,,,
"('Amstelveenseweg', 'Kraaienneststation')",,,,,,,,,,
"('Amstelveenseweg', 'Leidseplein')",,,,,,,,,,
"('Amstelveenseweg', 'Maasstraat')",,,,,,,,,,
"('Amstelveenseweg', 'Marie Heinekenplein')",2.0,2.0,6.0,1.0,5.0,8.0,2.0,4.0,8.0,1.0
"('Amstelveenseweg', 'Minervaplein')",,,1.0,,,,,,,
"('Amstelveenseweg', 'Muntplein')",9.0,6.0,8.0,7.0,8.0,5.0,9.0,3.0,5.0,10.0
"('Amstelveenseweg', 'Museumplein')",,,,,,,,,,
"('Amstelveenseweg', 'Nieuwezijds Kolk')",,,,,,,,,,
"('Amstelveenseweg', 'Nieuwmarkt')",,,,,,,,,,
"('Amstelveenseweg', 'Noord')",,,,,,,,,,
"('Amstelveenseweg', 'Noorderpark')",,,,,,,,,,
"('Amstelveenseweg', 'Olympiaplein')",6.0,8.0,3.0,1.0,2.0,9.0,7.0,4.0,8.0,10.0
"('Amstelveenseweg', 'Olympiaweg')",7.0,5.0,2.0,2.0,1.0,3.0,3.0,,1.0,4.0
"('Amstelveenseweg', 'Olympisch stadion')",6.0,8.0,7.0,7.0,4.0,4.0,7.0,3.0,8.0,5.0
"('Amstelveenseweg', 'Overamstel')",1.0,3.0,3.0,2.0,6.0,1.0,2.0,4.0,,3.0
"('Amstelveenseweg', 'Postjesweg')",8.0,4.0,12.0,7.0,7.0,7.0,8.0,5.0,10.0,3.0
"('Amstelveenseweg', 'Prinsengracht')",,,,,,,,,,
"('Amstelveenseweg', 'Reigersbos')",11.0,7.0,14.0,8.0,19.0,12.0,12.0,8.0,9.0,9.0
"('Amstelveenseweg', 'Rijksmuseum')",,,,,,,,,,
"('Amstelveenseweg', 'Roelof Hartplein')",8.0,12.0,12.0,11.0,12.0,9.0,8.0,11.0,17.0,9.0
"('Amstelveenseweg', 'Rokin')",11.0,10.0,19.0,10.0,8.0,17.0,15.0,12.0,6.0,14.0
"('Amstelveenseweg', 'Scheldestraat')",,,,,,,,,,
"('Amstelveenseweg', 'Spaklerweg')",,,,,,,,,,
"('Amstelveenseweg', 'Spui')",,,,,,,,,,
"('Amstelveenseweg', 'Station Bijlmer ArenA')",22.0,22.0,24.0,26.0,33.0,37.0,31.0,24.0,34.0,34.0
"('Amstelveenseweg', 'Station Diemen-Zuid')",,,,,,,,,,
"('Amstelveenseweg', 'Station Duivendrecht')",7.0,1.0,2.0,9.0,7.0,7.0,6.0,8.0,5.0,12.0
"('Amstelveenseweg', 'Station Ganzenhoef')",,,,,,,,,,
"('Amstelveenseweg', 'Station Holendrecht')",6.0,6.0,9.0,7.0,6.0,7.0,10.0,9.0,5.0,10.0
"('Amstelveenseweg', 'Station RAI')",8.0,8.0,6.0,7.0,4.0,2.0,6.0,7.0,2.0,6.0
"('Amstelveenseweg', 'Station Sloterdijk')",11.0,13.0,19.0,15.0,14.0,16.0,16.0,20.0,12.0,15.0
"('Amstelveenseweg', 'Strandvliet')",8.0,6.0,7.0,12.0,7.0,7.0,10.0,11.0,15.0,8.0
"('Amstelveenseweg', 'Van Baerlestraat')",,,,,,,,,,
"('Amstelveenseweg', 'Van der Madeweg')",32.0,25.0,26.0,24.0,20.0,37.0,16.0,19.0,31.0,34.0
"('Amstelveenseweg', 'Venserpolder')",,,,,,,,,,
"('Amstelveenseweg', 'Verrijn Stuartweg')",,,,,,,,,,
"('Amstelveenseweg', 'Victorieplein')",,,,,,,,,,
"('Amstelveenseweg', 'Vijzelgracht')",11.0,5.0,10.0,5.0,5.0,7.0,8.0,8.0,9.0,4.0
"('Amstelveenseweg', 'VU medisch centrum')",1.0,,,1.0,,1.0,,,,
"('Amstelveenseweg', 'Waalstraat')",,,,,,,,,,
"('Amstelveenseweg', 'Waterlooplein')",,,,,,,,,,
"('Amstelveenseweg', 'Weesperplein')",,,,,,,,,,
"('Amstelveenseweg', 'Wibautstraat')",,,,,,,,,,
"('Amstelveenseweg', 'Station Zuid')",45.0,31.0,39.0,30.0,31.0,43.0,38.0,39.0,39.0,41.0
"('Amstelveenseweg', 'Station Lelylaan')",9.0,7.0,5.0,6.0,11.0,11.0,17.0,13.0,7.0,3.0
"('Beethovenstraat', 'Bullewijk')",,,,,,,,,,
"('Beethovenstraat', 'Burg.de Vlugtlaan')",,,,,,,,,,
"('Beethovenstraat', 'Centraal Station')",1.0,,,,1.0,,,,,1.0
"('Beethovenstraat', 'Cornelis Troostplein')",,,,,,,,,,
"('Beethovenstraat', 'Dam')",,,,,,1.0,,,,
"('Beethovenstraat', 'De Boelelaan/VU')",,,,,,,,,,
"('Beethovenstraat', 'De Pijp')",,,,1.0,,2.0,1.0,3.0,1.0,1.0
"('Beethovenstraat', 'Europaplein')",,,,,,,,,,
"('Beethovenstraat', 'Gaasperplas')",,,,,,,,,,
"('Beethovenstraat', 'Gein')",,,,,,,,,,
"('Beethovenstraat', 'Gerrit v.d. Veenstraat')",,,,,,,,,,
"('Beethovenstraat', 'Heemstedestraat')",,,,,,,,,,
"('Beethovenstraat', 'Henk Sneevlietweg')",,,,,,,,,,
"('Beethovenstraat', 'IJsbaanpad')",,,,,,,,,,
"('Beethovenstraat', 'Isolatorweg')",,,,,,,,,,
"('Beethovenstraat', 'Jan v.Galenstraat')",,,,,,,,,,
"('Beethovenstraat', 'Keizersgracht')",,,,,,,,,,
"('Beethovenstraat', 'Koningsplein')",,,,,,,,,,
"('Beethovenstraat', 'Kraaienneststation')",,,,,,,,,,
"('Beethovenstraat', 'Leidseplein')",,,,,,,,,,
"('Beethovenstraat', 'Maasstraat')",,,,,,,,,,
"('Beethovenstraat', 'Marie Heinekenplein')",,,,,,,,,,
"('Beethovenstraat', 'Minervaplein')",,,,,,,,,,
"('Beethovenstraat', 'Muntplein')",,,,,,,,,,
"('Beethovenstraat', 'Museumplein')",,,,,,,,,,
"('Beethovenstraat', 'Nieuwezijds Kolk')",,,,,,,,,,
"('Beethovenstraat', 'Nieuwmarkt')",,,,,,,,,,
"('Beethovenstraat', 'Noord')",,,,,,,,,,
"('Beethovenstraat', 'Noorderpark')",,,,,,,,,,
"('Beethovenstraat', 'Olympiaplein')",,,,,,,,,,
"('Beethovenstraat', 'Olympiaweg')",,,,,,,,,,
"('Beethovenstraat', 'Olympisch stadion')",,,,,,,,,,
"('Beethovenstraat', 'Overamstel')",,,,,,,,,,
"('Beethovenstraat', 'Postjesweg')",,,,,,,,,,
"('Beethovenstraat', 'Prinsengracht')",,,,,,,,,,
"('Beethovenstraat', 'Reigersbos')",,,,,,,,,,
"('Beethovenstraat', 'Rijksmuseum')",,,,,,,,,,
"('Beethovenstraat', 'Roelof Hartplein')",1.0,,2.0,,,,,,1.0,
"('Beethovenstraat', 'Rokin')",,,,,,,,,,
"('Beethovenstraat', 'Scheldestraat')",,,,,,,,,,
"('Beethovenstraat', 'Spaklerweg')",,,,,,,,,,
"('Beethovenstraat', 'Spui')",,,,,,,,,,
"('Beethovenstraat', 'Station Bijlmer ArenA')",,,,,,,,,,
"('Beethovenstraat', 'Station Diemen-Zuid')",,,,,,,,,,
"('Beethovenstraat', 'Station Duivendrecht')",,,,,,,,,,
"('Beethovenstraat', 'Station Ganzenhoef')",,,,,,,,,,
