stations,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
"('Amstelveenseweg', 'Minervaplein')",1.0,,,,,,,1.0,,1.0
"('Amstelveenseweg', 'Muntplein')",12.0,14.0,22.0,13.0,21.0,13.0,20.0,15.0,15.0,14.0
"('Amstelveenseweg', 'Museumplein')",,,,,,,,,,
"('Amstelveenseweg', 'Nieuwezijds Kolk')",,,,,,,,,,
"('Amstelveenseweg', 'Nieuwmarkt')",,,,,,,,,,
"('Amstelveenseweg', 'Noord')",,,,,,,,,,
"('Amstelveenseweg', 'Noorderpark')",,,,,,,,,,
"('Amstelveenseweg', 'Olympiaplein')",1.0,3.0,4.0,4.0,7.0,3.0,6.0,5.0,5.0,4.0
"('Amstelveenseweg', 'Olympiaweg')",8.0,4.0,4.0,4.0,5.0,6.0,9.0,12.0,4.0,3.0
"('Amstelveenseweg', 'Olympisch stadion')",6.0,5.0,4.0,8.0,7.0,13.0,3.0,9.0,3.0,8.0
"('Amstelveenseweg', 'Overamstel')",3.0,2.0,,,2.0,,4.0,1.0,,3.0
"('Amstelveenseweg', 'Postjesweg')",5.0,3.0,1.0,5.0,3.0,3.0,4.0,1.0,6.0,3.0
"('Amstelveenseweg', 'Prinsengracht')",,,,,,,,,,
"('Amstelveenseweg', 'Reigersbos')",5.0,7.0,3.0,7.0,7.0,3.0,5.0,2.0,2.0,6.0
"('Amstelveenseweg', 'Rijksmuseum')",,,,,,,,,,
"('Amstelveenseweg', 'Roelof Hartplein')",28.0,21.0,26.0,25.0,22.0,27.0,31.0,35.0,42.0,27.0
"('Amstelveenseweg', 'Rokin')",61.0,45.0,44.0,65.0,58.0,60.0,46.0,65.0,49.0,59.0
"('Amstelveenseweg', 'Scheldestraat')",,,,,,,,,,
"('Amstelveenseweg', 'Spaklerweg')",,,,,,,,,,
"('Amstelveenseweg', 'Spui')",,,,,,,,,,
"('Amstelveenseweg', 'Station Bijlmer ArenA')",28.0,18.0,20.0,24.0,28.0,25.0,29.0,23.0,29.0,25.0
"('Amstelveenseweg', 'Station Diemen-Zuid')",,,,,,,,,,
"('Amstelveenseweg', 'Station Duivendrecht')",1.0,6.0,5.0,5.0,1.0,5.0,6.0,5.0,4.0,2.0
"('Amstelveenseweg', 'Station Ganzenhoef')",,,,,,,,,,
"('Amstelveenseweg', 'Station Holendrecht')",2.0,9.0,7.0,8.0,3.0,4.0,7.0,6.0,4.0,6.0
"('Amstelveenseweg', 'Station RAI')",7.0,6.0,8.0,7.0,6.0,4.0,11.0,4.0,3.0,4.0
"('Amstelveenseweg', 'Station Sloterdijk')",9.0,13.0,17.0,16.0,16.0,12.0,11.0,11.0,18.0,17.0
"('Amstelveenseweg', 'Strandvliet')",5.0,3.0,7.0,1.0,2.0,4.0,2.0,1.0,6.0,7.0
"('Amstelveenseweg', 'Van Baerlestraat')",,,,,,,,,,
"('Amstelveenseweg', 'Van der Madeweg')",27.0,25.0,15.0,19.0,15.0,20.0,15.0,16.0,23.0,16.0
"('Amstelveenseweg', 'Venserpolder')",,,,,,,,,,
"('Amstelveenseweg', 'Verrijn Stuartweg')",,,,,,,,,,
"('Amstelveenseweg', 'Victorieplein')",,,,,,,,,,
"('Amstelveenseweg', 'Vijzelgracht')",26.0,21.0,28.0,21.0,21.0,29.0,28.0,26.0,25.0,27.0
